ra ,dec,u,b,v,r,i,j,h,k
10.667,41.563,19.963,19.141,17.738,16.781,15.881,14.517,13.650,13.493
10.621,40.832,19.012,18.638,17.739,17.156,16.472,15.825,14.698,14.691
10.714,41.261,19.610,18.666,17.739,16.886,16.440,14.692,13.746,13.701
10.072,40.651,17.589,17.810,17.750,17.170,17.130,9999.000,9999.000,9999.000
9.936,40.236,18.456,18.341,17.770,17.092,16.670,9999.000,9999.000,9999.000
9.746,40.275,18.781,18.546,17.770,17.299,16.627,15.812,15.468,15.365
10.201,40.585,18.110,18.160,17.780,17.579,17.230,15.349,15.425,9999.000
10.978,41.009,18.982,18.650,17.790,17.180,16.710,15.720,14.955,14.865
10.530,41.203,19.751,18.930,17.790,17.410,16.510,14.687,14.611,9999.000
10.513,40.746,17.290,17.687,17.793,17.340,17.375,15.428,9999.000,9999.000
